"","TLS_ID","stemlocx_.m._x","stemlocy_.m._x","Vol_QSM_avg_.m3._x","BLEN..m.","Hgt_pts_.m._x","DBH_TLS_.m._x","DBH_census_.m._x","leaf_area","leaf_area_start","hmean"
"519","8428",26.11035831,172.2904345,0.05009,109.4481166,9.3481349,0.075377276,NA,30.2,60.3,3.65758189631043
"520","8429",28.65707732,174.8060628,0.03185,74.11120239,6.398015,0.06322,NA,20.4,40.8,4.33574350161536
"521","8430",31.64355284,171.0794924,0.11203,244.482231,4.675439,0.08264,NA,67.4,134.7,1.73125855456059
"522","8431",36.40467446,176.2751847,0.010711,35.02371549,4.207789,0.037828597,0.04,9.6,19.3,1.34744308646566
"523","8432",36.25840615,179.02648,0.05544,88.61697682,9.1897104,0.079372564,NA,24.4,48.8,3.29370289658546
"524","8433",35.76881452,179.2468994,0.01829,46.55896756,5.961549,0.0501056,NA,12.8,25.7,2.41624508646923
"525","8434",36.33386403,179.5647825,0.010406,15.55275417,5.997722,0.046057995,NA,4.3,8.6,2.22519164655635
"526","8435",33.71977631,179.8076864,0.010239,21.21428591,5.690241,0.060462436,0.05,5.8,11.7,0.66140975234854
"527","8436",37.17630263,182.8691003,0.01551,46.85970188,3.478239,0.04734,NA,12.9,25.8,1.22581589171218
"528","8500",75.78661295,191.7093139,0.3783,211.3235506,17.445921,0.182284539,0.181,58.2,116.4,13.4935033760135
"529","9082",39.56497262,102.3761297,0.04684,39.84066487,7.0419679,0.086506088,0.087,11,22,2.64588465201826
"530","9084",27.08231431,109.0995554,0.6944,229.2087989,19.6068015,0.258705996,0.257,63.1,126.3,3.18267347990622
"531","9085",21.16258361,107.1179321,0.1288,99.03755526,12.6822504,0.111719409,0.116,27.3,54.6,1.50674191470279
"532","9086",21.87843823,109.8586212,0.03133,34.71777146,8.263601,0.077449114,0.079,9.6,19.1,4.06153599448485
"533","9088",59.5322145,114.1100361,0.2595,280.8487495,13.9135555,0.127297582,0.133,77.4,154.7,8.02202902051758
"534","9091",71.24546192,156.9171975,0.06005,84.69238784,10.2690692,0.075770871,0.079,23.3,46.7,4.96054896207215
"535","9093",41.03768375,152.6540804,0.07943,95.14174948,10.6491943,0.100861338,0.102,26.2,52.4,6.7394536621433
"536","9095",48.28501946,159.3317306,0.05987,84.88953309,8.4819268,0.094900658,0.089,23.4,46.8,5.78534135979687
"537","9096",34.61370337,149.2526648,0.2559,359.2552714,14.45156287,0.137708496,0.148,99,197.9,5.34288464773909
"538","9098",13.4803858,167.6295751,0.3918,326.4040166,17.3854196,0.17169807,0.181,89.9,179.8,8.57377213417806
"539","9106",43.31148138,193.6860525,0.07688,85.83292491,9.412258,0.10429063,0.103,23.6,47.3,6.02577047402967
"540","9109",35.21889604,177.0972879,0.5747,742.8540425,12.7418776,0.183251528,0.19,204.6,409.3,7.29017657276164
"541","9111",5.147061857,173.0828901,0.4959,675.2372717,10.2228166,0.239047008,0.256,186,372,5.97413667352913
"542","9112",5.361929379,183.5429524,0.2218,378.0199567,9.807473,0.132427647,0.136,104.1,208.3,5.51104731379456
"543","9228",125.5802156,119.5384794,0.3872,271.9154151,15.4646864,0.152898475,0.162,74.9,149.8,8.86992347596802
"544","9230",118.558873,157.6513616,1.9397,747.0191674,22.741624,0.33770151,0.339,205.8,411.6,17.0821528025836
"545","9231",121.5857943,157.9260449,0.5809,187.8219121,22.208856,0.213792869,0.212,51.7,103.5,8.63209294957658
"546","9232",117.4226705,193.1160636,0.1977,261.4247084,13.11721,0.132652212,0.12,72,144,7.00199329655244
"547","1009a",110.5073943,112.8022146,0.8123,280.8316156,21.475205,0.217314186,0.227,77.4,154.7,12.495510146307
