TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
1968,9.387119698,147.4916575,0.1959,157.6953783,9.0958529,0.131322122,0.14,43.4,86.9
1970,80.51181705,196.4335921,0.2974,110.1318156,19.39663534,0.165366789,0.163,30.3,60.7
1972,122.2395757,196.2360699,0.6265,593.5986512,17.2838992,0.192508026,0.19,163.5,327.1
1986,10.18101405,168.7054863,0.116,77.86755999,17.2744732,0.121404168,0.112,21.5,42.9
1988,136.7978824,108.2507436,1.2951,611.7614817,16.6789439,0.290957479,0.3,168.5,337.1
1997,35.86431474,139.7344798,0.0775,48.7157242,11.5858462,0.09496,0.1,13.4,26.8
2002,30.01813858,122.2485437,0.06708,86.69935863,10.6553947,0.091351615,0.098,23.9,47.8
2022,56.3756173,173.0703697,0.04974,93.10489141,9.1856287,0.112106119,0.076,25.6,51.3
2033,75.103377,192.5050569,0.08425,97.01285429,11.7250178,0.100571301,0.102,26.7,53.5
2040,133.484236,190.8557766,0.2805,363.685169,14.4232194,0.149004328,0.153,100.2,200.4
2063,62.28352614,104.6704968,0.4569,410.4769824,18.306923,0.170787111,0.174,113.1,226.2
2067,22.67740706,143.3205911,0.163,82.14248201,13.79559458,0.137455846,0.136,22.6,45.3
2077,127.1447453,193.3968884,0.2005,164.0824847,11.5519472,0.141811865,0.141,45.2,90.4
2086,8.357165018,141.2704979,0.1116,89.35838062,10.4417172,0.140487885,0.148,24.6,49.2
2087,53.09753434,171.9714582,0.2437,220.3304546,15.215935,0.138749578,0.144,60.7,121.4
2089,128.6660294,117.1227115,0.1519,104.6535681,15.8534727,0.120590484,0.12,28.8,57.7
2091,46.30239784,180.5373439,0.1636,132.3808397,14.9990231,0.120851417,0.122,36.5,72.9
2115,30.58357472,194.6686796,0.2307,166.99184,14.4186539,0.16859829,0.16,46.0,92.0
2117,20.54884688,125.1032982,0.1839,152.3650995,12.097306,0.126105844,0.131,42.0,83.9
2130,29.54600609,113.0528157,0.1865,146.210066,14.248535,0.125275524,0.126,40.3,80.6
